location_id,location,latitude,longitude
6305,TAPIN,-2.91667,115.03333
3206,TASIKMALAYA,-7.5,108.13333
1508,TEBO,-1.45576,102.37473
3328,TEGAL,-7.03333,109.16667
9104,TELUK BINTUNI,-1.88037,133.33105
9103,TELUK WONDAMA,-2.7,134.5
3323,TEMANGGUNG,-7.25,110.11667
5304,TIMOR TENGAH SELATAN,-9.83333,124.4
5305,TIMOR TENGAH UTARA,-9.33136,124.51904
1206,TOBA SAMOSIR,2.39793,99.21678
7209,TOJO UNA UNA,-1.2036,121.48201
7206,TOLI TOLI,1.30862,120.88643
9418,TOLIKARA,-3.42661,137.41699
7326,TORAJA UTARA,-2.92738,119.79218
3503,TRENGGALEK,-8.16667,111.61667
3523,TUBAN,-6.96667,111.9
1808,TULANG BAWANG,-4.20604,105.57999
1812,TULANG BAWANG BARAT,-4.43975,105.0444
3504,TULUNGAGUNG,-8.11667,111.91667
1,UMI,-6.95,106.93333
7313,WAJO,-4,120.16667
7407,WAKATOBI,-5.31934,123.5948
9426,WAROPEN,-2.286,137.01837
1807,WAY KANAN,-4.44705,104.52753
3312,WONOGIRI,-7.91667,111
3307,WONOSOBO,-7.36139,109.92667
9416,YAHUKIMO,-4.60403,139.58405
9432,YALIMO,-3.86037,138.47305
